"","Origin Station Name"
"1","Abbey Road"
"420","Abbey Wood"
"973","Acton Central"
"1459","Acton Main Line"
"1680","Acton Town"
"2227","Albany Park"
"2591","Aldgate"
"3202","Aldgate East"
"3833","Alexandra Palace"
"4336","All Saints"
"4818","Alperton"
"5256","Amersham"
"5699","Anerley"
"6140","Angel"
"6766","Angel Road"
"6860","Archway"
"7466","Arnos Grove"
"8014","Arsenal"
"8585","Baker Street"
"9219","Banstead"
"9444","Barbican"
"10066","Barking"
"10685","Barkingside"
"11139","Barnehurst"
"11568","Barnes"
"12108","Barnes Bridge"
"12493","Barons Court"
"13085","Battersea Park"
"13635","Bayswater"
"14200","Beckenham Hill"
"14531","Beckenham Junction"
"15021","Beckton"
"15534","Beckton Park"
"15943","Becontree"
"16466","Bellingham"
"16876","Belmont"
"17105","Belsize Park"
"17687","Belvedere"
"18161","Bermondsey"
"18769","Berrylands"
"19106","Bexley"
"19535","Bexleyheath"
"20022","Bickley"
"20373","Birkbeck"
"20572","Blackheath"
"21115","Blackhorse Road"
"21719","Blackwall"
"22207","Bond Street"
"22841","Borough"
"23437","Boston Manor"
"23889","Bounds Green"
"24442","Bow Church"
"24848","Bow Road"
"25409","Bowes Park"
"25688","Brent Cross"
"26186","Brentford"
"26644","Brentwood"
"27139","Brimsdown"
"27612","Brockley"
"28176","Bromley-by-Bow"
"28740","Bromley North"
"28999","Bromley South"
"29583","Brondesbury"
"30041","Brondesbury Park"
"30500","Broxbourne"
"30945","Bruce Grove"
"31394","Buckhurst Hill"
"31861","Burnt Oak"
"32363","Bush Hill Park"
"32822","Bushey"
"33244","Caledonian Road"
"33829","Cambridge Heath"
"34182","Camden Road"
"34663","Camden Town"
"35288","Canada Water"
"35904","Canning Town"
"36515","Canonbury"
"37057","Canons Park"
"37546","Carpenders Park"
"37915","Carshalton"
"38357","Carshalton Beeches"
"38727","Castle Bar Park"
"38887","Caterham"
"39267","Catford"
"39633","Catford Bridge"
"40157","Chadwell Heath"
"40706","Chafford Hundred"
"41176","Chalk Farm"
"41765","Chancery Lane"
"42379","Charlton"
"42842","Cheam"
"43237","Chelsfield"
"43564","Chesham"
"43961","Cheshunt"
"44462","Chessington North"
"44839","Chessington South"
"45120","Chigwell"
"45483","Chingford"
"45961","Chipstead"
"46156","Chislehurst"
"46547","Chiswick"
"46925","Chiswick Park"
"47424","Chorleywood"
"47777","City Thameslink"
"48300","Clapham Common"
"48892","Clapham High Street"
"49264","Clapham Junction"
"49888","Clapham North"
"50463","Clapham South"
"51041","Clapton"
"51554","Clock House"
"51910","Cockfosters"
"52378","Colindale"
"52955","Colliers Wood"
